level,experiment,worst,mean,A_score,A_C,A_density,A_H,A_longevity,A_denied,file
1,o_col_OaRoSuLaGr,0.270331,0.279430,0.284234,1780,0.7120,0.4597,0.1119,1218,o_col_OaRoSuLaGr.json
1,o_row_GrRoLaSuOa,0.269100,0.275062,0.281388,1780,0.7120,0.4571,0.1050,1133,o_row_GrRoLaSuOa.json
1,o_row_RoGrLaSuOa,0.268697,0.272114,0.275923,1780,0.7120,0.4462,0.1090,1170,o_row_RoGrLaSuOa.json
1,o_col_OaSuRoLaGr,0.268295,0.278320,0.281359,1780,0.7120,0.4547,0.1119,1251,o_col_OaSuRoLaGr.json
1,o_col_SuGrRoLaOa,0.267118,0.274623,0.282098,1780,0.7120,0.4563,0.1110,1252,o_col_SuGrRoLaOa.json
1,o_col_RoGrLaSuOa,0.264518,0.275520,0.284154,1780,0.7120,0.4596,0.1119,1271,o_col_RoGrLaSuOa.json
1,o_row_OaRoSuLaGr,0.261545,0.271972,0.278623,1780,0.7120,0.4505,0.1100,1159,o_row_OaRoSuLaGr.json
1,o_col_OaLaRoSuGr,0.259033,0.268870,0.277622,1780,0.7120,0.4477,0.1131,1290,o_col_OaLaRoSuGr.json
1,o_row_SuGrRoLaOa,0.258755,0.267341,0.270986,1780,0.7120,0.4378,0.1081,1131,o_row_SuGrRoLaOa.json
1,o_row_OaLaRoSuGr,0.257034,0.262654,0.268927,1780,0.7120,0.4324,0.1132,1339,o_row_OaLaRoSuGr.json
1,o_col_GrRoLaSuOa,0.253531,0.271072,0.286334,1780,0.7120,0.4639,0.1105,1255,o_col_GrRoLaSuOa.json
1,o_col_GrLaRoSuOa,0.252385,0.267943,0.285941,1780,0.7120,0.4638,0.1089,1242,o_col_GrLaRoSuOa.json
1,o_row_OaSuRoLaGr,0.247872,0.257998,0.267628,1780,0.7120,0.4295,0.1149,1336,o_row_OaSuRoLaGr.json
1,o_row_GrLaRoSuOa,0.242710,0.260387,0.273006,1780,0.7120,0.4429,0.1037,1177,o_row_GrLaRoSuOa.json
1,wt_1.5-1.0-1.0-1.0-0.6_OaRoSuLaGr,0.273261,0.277608,0.280715,1780,0.7120,0.4563,0.1040,1037,wt_1.5-1.0-1.0-1.0-0.6_OaRoSuLaGr.json
1,wt_1.0-1.0-1.0-1.0-1.0_OaRoSuLaGr,0.270331,0.279430,0.284234,1780,0.7120,0.4597,0.1119,1218,wt_1.0-1.0-1.0-1.0-1.0_OaRoSuLaGr.json
1,wt_0.8-1.0-1.0-1.0-1.3_OaRoSuLaGr,0.268756,0.275482,0.277790,1780,0.7120,0.4481,0.1128,1264,wt_0.8-1.0-1.0-1.0-1.3_OaRoSuLaGr.json
1,wt_1.3-1.0-1.0-1.0-0.8_OaRoSuLaGr,0.264771,0.276897,0.283392,1780,0.7120,0.4587,0.1106,1191,wt_1.3-1.0-1.0-1.0-0.8_OaRoSuLaGr.json
1,wt_0.8-0.9-1.0-1.1-1.2_OaRoSuLaGr,0.262882,0.271475,0.279315,1780,0.7120,0.4514,0.1109,1244,wt_0.8-0.9-1.0-1.1-1.2_OaRoSuLaGr.json
1,wt_1.2-1.1-1.0-0.9-0.8_OaRoSuLaGr,0.262277,0.273983,0.278771,1780,0.7120,0.4498,0.1129,1241,wt_1.2-1.1-1.0-0.9-0.8_OaRoSuLaGr.json
1,wt_0.6-1.0-1.0-1.0-1.5_OaRoSuLaGr,0.258727,0.266373,0.269786,1780,0.7120,0.4330,0.1157,1415,wt_0.6-1.0-1.0-1.0-1.5_OaRoSuLaGr.json
1,w98_col_OaRoSuLaGr,0.284588,0.288785,0.287008,1800,0.7200,0.4599,0.1106,1218,w98_col_OaRoSuLaGr.json
1,w100_col_OaRoSuLaGr,0.270331,0.279430,0.284234,1780,0.7120,0.4597,0.1119,1218,w100_col_OaRoSuLaGr.json
1,w102_col_OaRoSuLaGr,0.236919,0.262612,0.279513,1745,0.6980,0.4606,0.1115,1218,w102_col_OaRoSuLaGr.json
1,w105_col_OaRoSuLaGr,0.166054,0.231387,0.273673,1708,0.6832,0.4602,0.1107,1218,w105_col_OaRoSuLaGr.json
3,s5_starters,0.151676,0.194947,0.186518,14761,0.6560,0.3379,0.0460,855,s5_starters.json
3,base_GrSuOa,0.142842,0.191106,0.185544,15545,0.6909,0.3148,0.0578,1420,base_GrSuOa.json
3,cv4,0.092445,0.133303,0.192000,15544,0.6908,0.3293,0.0500,988,cv4.json
3,rz4,0.087331,0.126092,0.124160,9725,0.4322,0.3523,0.0117,1171,rz4.json
3,rzcv5,0.081670,0.135354,0.135308,9474,0.4211,0.3930,0.0146,1092,rzcv5.json
3,rzcvsr6,0.074252,0.134222,0.130694,9123,0.4055,0.3945,0.0136,899,rzcvsr6.json
3,rz4_nosc,0.072238,0.112324,0.130803,10135,0.4504,0.3559,0.0128,1103,rz4_nosc.json
3,rzcv5_big,0.067327,0.120898,0.107388,7535,0.3349,0.3929,0.0106,1109,rzcv5_big.json
2,o_col_OaLaRoSuGr,0.303376,0.325592,0.312449,5713,0.8161,0.4450,0.1097,1417,o_col_OaLaRoSuGr.json
2,o_col_OaRoSuLaGr,0.294984,0.325440,0.315623,5619,0.8027,0.4575,0.1092,1454,o_col_OaRoSuLaGr.json
2,o_col_RoGrLaSuOa,0.294353,0.321924,0.309956,5758,0.8226,0.4377,0.1096,1412,o_col_RoGrLaSuOa.json
2,o_col_OaSuRoLaGr,0.291706,0.323584,0.315235,5896,0.8423,0.4337,0.1150,1467,o_col_OaSuRoLaGr.json
2,o_col_GrRoLaSuOa,0.291194,0.321487,0.311571,5756,0.8223,0.4407,0.1085,1419,o_col_GrRoLaSuOa.json
2,o_col_GrLaRoSuOa,0.284409,0.313592,0.296298,5564,0.7949,0.4331,0.1046,1369,o_col_GrLaRoSuOa.json
2,o_row_RoGrLaSuOa,0.276320,0.314924,0.304501,5828,0.8326,0.4229,0.1142,1354,o_row_RoGrLaSuOa.json
2,o_row_GrLaRoSuOa,0.261061,0.289412,0.292973,5767,0.8239,0.4118,0.1078,1389,o_row_GrLaRoSuOa.json
2,o_col_SuGrRoLaOa,0.259290,0.307895,0.296735,5327,0.7610,0.4539,0.1020,1384,o_col_SuGrRoLaOa.json
2,o_row_OaLaRoSuGr,0.258174,0.277481,0.300605,5990,0.8557,0.4071,0.1094,1288,o_row_OaLaRoSuGr.json
2,o_row_OaSuRoLaGr,0.254914,0.279610,0.307417,6108,0.8726,0.4078,0.1138,1313,o_row_OaSuRoLaGr.json
2,o_row_GrRoLaSuOa,0.247535,0.297073,0.304940,5828,0.8326,0.4240,0.1128,1420,o_row_GrRoLaSuOa.json
2,o_row_SuGrRoLaOa,0.240781,0.292487,0.299046,5769,0.8241,0.4217,0.1050,1317,o_row_SuGrRoLaOa.json
2,o_row_OaRoSuLaGr,0.235430,0.278765,0.287898,5518,0.7883,0.4240,0.1027,1251,o_row_OaRoSuLaGr.json
3,v3_3sp,0.130095,0.174070,0.170976,14268,0.6341,0.3199,0.0435,335,v3_3sp.json
3,v3_3sp_flat,0.126737,0.171869,0.169495,13514,0.6006,0.3361,0.0400,367,v3_3sp_flat.json
3,v3_rz4_bigsc,0.049455,0.099419,0.102571,9563,0.4250,0.2932,0.0143,930,v3_rz4_bigsc.json
3,v3_rzcv5,0.035775,0.066163,0.087949,7957,0.3536,0.3003,0.0150,637,v3_rzcv5.json
3,v3_rz4_flat,0.033255,0.066566,0.045748,6308,0.2804,0.1954,0.0096,652,v3_rz4_flat.json
3,v3_rz4,0.026842,0.063940,0.035400,6004,0.2668,0.1575,0.0089,651,v3_rz4.json
3,v3_rz4_smallsc,0.005591,0.041007,0.005591,2575,0.1144,0.0530,0.0037,491,v3_rz4_smallsc.json
3,v3_cv4,0.000042,0.081290,0.156410,13357,0.5936,0.3133,0.0380,396,v3_cv4.json
1,L1w98_1.3-0.9-1.0-1.0-0.8,0.287965,0.290149,0.288308,1800,0.7200,0.4632,0.1075,1164,L1w98_1.3-0.9-1.0-1.0-0.8.json
1,L1w98_1.2-1.0-0.9-1.0-0.9,0.286452,0.287444,0.287275,1800,0.7200,0.4600,0.1115,1217,L1w98_1.2-1.0-0.9-1.0-0.9.json
1,L1w98_1.0-1.2-1.0-1.2-0.8,0.285445,0.286798,0.285922,1800,0.7200,0.4572,0.1128,1243,L1w98_1.0-1.2-1.0-1.2-0.8.json
1,L1w98_1.0-1.0-1.0-1.0-1.0,0.284588,0.288785,0.287008,1800,0.7200,0.4599,0.1106,1218,L1w98_1.0-1.0-1.0-1.0-1.0.json
1,L1w98_1.5-1.0-1.0-1.0-0.6,0.283442,0.286135,0.283558,1800,0.7200,0.4566,0.1027,1037,L1w98_1.5-1.0-1.0-1.0-0.6.json
1,L1w98_0.8-1.1-1.0-1.0-1.1,0.277328,0.285549,0.284560,1800,0.7200,0.4557,0.1104,1246,L1w98_0.8-1.1-1.0-1.0-1.1.json
2,L2_6sp_cv_260,0.361105,0.368902,0.368097,6123,0.8747,0.4929,0.1159,1436,L2_6sp_cv_260.json
2,L2_6sp_rz_150,0.358769,0.367087,0.364467,5846,0.8351,0.5133,0.1076,1213,L2_6sp_rz_150.json
2,L2_6sp_cv_150,0.356469,0.362765,0.357637,5879,0.8399,0.5014,0.1037,1133,L2_6sp_cv_150.json
2,L2_6sp_rz_260,0.355636,0.372962,0.376125,6135,0.8764,0.5013,0.1233,1335,L2_6sp_rz_260.json
2,L2w98_1.2-1.0-1.0-0.9-0.9,0.303643,0.327210,0.315898,5634,0.8049,0.4572,0.1076,1463,L2w98_1.2-1.0-1.0-0.9-0.9.json
2,L2w98_1.0-1.0-1.0-1.0-1.0,0.303376,0.325592,0.312449,5713,0.8161,0.4450,0.1097,1417,L2w98_1.0-1.0-1.0-1.0-1.0.json
2,L2w98_1.3-0.9-1.0-1.0-0.8,0.302405,0.326531,0.318155,5678,0.8111,0.4571,0.1076,1446,L2w98_1.3-0.9-1.0-1.0-0.8.json
2,L2w98_1.4-1.0-0.9-0.9-0.8,0.293557,0.322427,0.310504,5561,0.7944,0.4554,0.1055,1427,L2w98_1.4-1.0-0.9-0.9-0.8.json
3,v4_3sp,0.202065,0.206822,0.209818,17943,0.7975,0.3137,0.0483,625,v4_3sp.json
3,v4_3sp_lean,0.200231,0.209056,0.219800,18221,0.8098,0.3212,0.0586,590,v4_3sp_lean.json
3,v4_rz4,0.194552,0.208961,0.233152,18152,0.8068,0.3461,0.0489,743,v4_rz4.json
3,v4_cv4,0.192993,0.198323,0.197731,17590,0.7818,0.3006,0.0487,556,v4_cv4.json
3,v4_rz4_dense,0.191111,0.196800,0.201209,17643,0.7841,0.3054,0.0482,768,v4_rz4_dense.json
